,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,added_at,weight,liveness
5PnBpKOVvQxeFvXVNYSoxs,0.08,https://api.spotify.com/v1/audio-analysis/5PnBpKOVvQxeFvXVNYSoxs,0.418,241846,0.794,5PnBpKOVvQxeFvXVNYSoxs,0,11,-4.973,1,0.0816,129.434,4,https://api.spotify.com/v1/tracks/5PnBpKOVvQxeFvXVNYSoxs,audio_features,spotify:track:5PnBpKOVvQxeFvXVNYSoxs,0.178,,1,0.329
33pDmPx2pkJ7JCAQpRDQ9B,0.036,https://api.spotify.com/v1/audio-analysis/33pDmPx2pkJ7JCAQpRDQ9B,0.681,298027,0.621,33pDmPx2pkJ7JCAQpRDQ9B,0.00555,1,-10.024,1,0.34,135.538,4,https://api.spotify.com/v1/tracks/33pDmPx2pkJ7JCAQpRDQ9B,audio_features,spotify:track:33pDmPx2pkJ7JCAQpRDQ9B,0.428,,1,0.138
4bCqxEfZ0i6Oz6I0hpfM7a,0.451,https://api.spotify.com/v1/audio-analysis/4bCqxEfZ0i6Oz6I0hpfM7a,0.671,283787,0.742,4bCqxEfZ0i6Oz6I0hpfM7a,4.38e-06,10,-4.768,0,0.368,89.835,4,https://api.spotify.com/v1/tracks/4bCqxEfZ0i6Oz6I0hpfM7a,audio_features,spotify:track:4bCqxEfZ0i6Oz6I0hpfM7a,0.767,,1,0.101
2mu2oL9gdgHGtlg9poer2u,0.0539,https://api.spotify.com/v1/audio-analysis/2mu2oL9gdgHGtlg9poer2u,0.887,261067,0.422,2mu2oL9gdgHGtlg9poer2u,0.0455,1,-14.505,0,0.228,98.332,4,https://api.spotify.com/v1/tracks/2mu2oL9gdgHGtlg9poer2u,audio_features,spotify:track:2mu2oL9gdgHGtlg9poer2u,0.612,,1,0.114
2t0WGjWdj2wWuI7sOn4lF3,0.127,https://api.spotify.com/v1/audio-analysis/2t0WGjWdj2wWuI7sOn4lF3,0.857,261561,0.611,2t0WGjWdj2wWuI7sOn4lF3,0.0038,9,-10.7,0,0.105,99.995,4,https://api.spotify.com/v1/tracks/2t0WGjWdj2wWuI7sOn4lF3,audio_features,spotify:track:2t0WGjWdj2wWuI7sOn4lF3,0.346,,1,0.342
7ox2wvSzqTxQQf55Ggobbl,0.12,https://api.spotify.com/v1/audio-analysis/7ox2wvSzqTxQQf55Ggobbl,0.629,192155,0.772,7ox2wvSzqTxQQf55Ggobbl,0.0051,1,-5.056,0,0.158,88.547,4,https://api.spotify.com/v1/tracks/7ox2wvSzqTxQQf55Ggobbl,audio_features,spotify:track:7ox2wvSzqTxQQf55Ggobbl,0.743,,1,0.265
2p4ARx5nk3b9Jh07ivQR1c,0.0618,https://api.spotify.com/v1/audio-analysis/2p4ARx5nk3b9Jh07ivQR1c,0.809,194680,0.671,2p4ARx5nk3b9Jh07ivQR1c,8.1e-05,8,-7.4,0,0.0837,109.967,4,https://api.spotify.com/v1/tracks/2p4ARx5nk3b9Jh07ivQR1c,audio_features,spotify:track:2p4ARx5nk3b9Jh07ivQR1c,0.651,,1,0.469
5OmweajrT5ooEbpEraP45s,0.342,https://api.spotify.com/v1/audio-analysis/5OmweajrT5ooEbpEraP45s,0.509,252396,0.583,5OmweajrT5ooEbpEraP45s,0,1,-14.463,0,0.631,94.732,4,https://api.spotify.com/v1/tracks/5OmweajrT5ooEbpEraP45s,audio_features,spotify:track:5OmweajrT5ooEbpEraP45s,0.706,,1,0.182
6n4g9rQE65ZgPQo32mWixM,0.576,https://api.spotify.com/v1/audio-analysis/6n4g9rQE65ZgPQo32mWixM,0.659,202105,0.775,6n4g9rQE65ZgPQo32mWixM,0,2,-6.209,0,0.111,132.914,4,https://api.spotify.com/v1/tracks/6n4g9rQE65ZgPQo32mWixM,audio_features,spotify:track:6n4g9rQE65ZgPQo32mWixM,0.725,,1,0.111
3iGNoYKIabGohB9A0C7dKU,0.384,https://api.spotify.com/v1/audio-analysis/3iGNoYKIabGohB9A0C7dKU,0.846,186200,0.681,3iGNoYKIabGohB9A0C7dKU,1.02e-05,1,-6.172,1,0.144,117.978,4,https://api.spotify.com/v1/tracks/3iGNoYKIabGohB9A0C7dKU,audio_features,spotify:track:3iGNoYKIabGohB9A0C7dKU,0.696,,1,0.185
